Geneid	Col_100	Col_131	Col_182	Col_184	Col_186	Col_195	Col_326	Col_87	Col_9
ENSMUSG00000099141	0	0	0	0	0	0	0	0	0
ENSMUSG00000032649	4	16	46	32	10	38	66	16	14
ENSMUSG00000101849	4	6	0	0	2	2	0	0	2
ENSMUSG00000101506	0	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0	0
ENSMUSG00000102052	0	0	0	0	0	0	0	0	0
ENSMUSG00000026047	213	190	310	305	261	302	293	187	281
ENSMUSG00000080878	0	0	0	0	0	0	0	0	0
ENSMUSG00000091476	32	38	116	73	43	104	56	43	27
ENSMUSG00000104097	7	13	18	14	13	29	19	6	1
ENSMUSG00000119789	1	0	0	0	0	0	0	0	0
ENSMUSG00000102493	4	0	3	2	0	1	0	0	0
ENSMUSG00000004872	0	0	0	0	0	0	0	0	0
ENSMUSG00000118426	10	0	0	6	1	12	6	0	8
ENSMUSG00000041684	560	535	760	730	554	505	693	596	701
ENSMUSG00000032908	7298	9879	7372	6596	7453	4887	6763	5656	5461
ENSMUSG00000099561	7	3	8	26	14	13	9	3	6
ENSMUSG00000102945	0	4	2	5	4	2	16	2	3
ENSMUSG00000026502	1434	1374	1175	1345	1203	1001	1265	1218	1097
ENSMUSG00000103958	0	0	0	0	0	0	0	0	0
ENSMUSG00000070489	6	0	8	0	4	0	0	4	4
ENSMUSG00000104126	18	17	16	20	10	8	14	24	14
ENSMUSG00000026500	12	16	31	21	23	19	22	6	13
ENSMUSG00000026048	751	738	727	852	704	621	821	519	757
ENSMUSG00000046828	0	0	0	0	0	0	0	0	0
ENSMUSG00000089703	0	0	0	0	0	0	0	0	0
ENSMUSG00000100966	0	0	0	0	0	0	0	0	0
ENSMUSG00000100769	2	0	0	0	0	0	0	1	0
ENSMUSG00000101567	6	12	2	4	8	6	10	12	4
ENSMUSG00000026245	2247	1815	1439	1832	1517	1251	1579	1401	1809
ENSMUSG00000101798	0	0	4	0	2	2	10	0	0
ENSMUSG00000104018	14	2	4	4	11	7	5	6	4
ENSMUSG00000090486	0	4	1	0	1	0	0	0	0
ENSMUSG00000026482	259	179	247	241	168	232	316	205	392
ENSMUSG00000086145	0	0	0	0	0	0	0	0	0
ENSMUSG00000080950	0	4	0	0	2	0	0	0	0
ENSMUSG00000099868	0	0	0	0	0	0	0	0	0
ENSMUSG00000055547	0	2	2	0	0	0	2	0	0
ENSMUSG00000012187	0	4	0	6	0	2	6	0	0
ENSMUSG00000008475	19443	17183	10807	13239	13479	10478	10992	15153	15294
ENSMUSG00000099364	31	103	115	126	60	211	173	36	24
ENSMUSG00000100562	0	0	0	0	0	0	0	0	0
ENSMUSG00000056870	124	90	190	171	94	237	294	92	106
ENSMUSG00000102319	0	0	2	0	0	8	0	2	0
ENSMUSG00000089877	0	0	0	1	0	0	6	2	0
ENSMUSG00000101701	0	0	2	8	0	0	0	0	0
ENSMUSG00000103071	0	0	0	0	0	0	0	0	0
ENSMUSG00000100434	0	0	0	0	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0	0	0	0	0
ENSMUSG00000039630	16637	16496	14796	16564	13428	12962	16015	12306	15244
ENSMUSG00000104279	56	18	13	42	19	36	38	36	38
ENSMUSG00002075531	0	0	0	0	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0	0
ENSMUSG00000026495	160	173	137	135	127	184	176	117	168
ENSMUSG00000032883	10251	13866	11782	10920	6478	12418	11802	7234	7834
ENSMUSG00000026480	2407	1535	1014	1226	1379	1017	874	1615	1825
ENSMUSG00000026494	18	11	21	38	16	40	62	24	59
ENSMUSG00000064967	0	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	0	0	0	0	0	0	0	0
ENSMUSG00000025915	116	142	206	217	88	125	150	101	254
ENSMUSG00000089713	0	0	0	0	0	0	0	0	0
ENSMUSG00000079470	1471	2096	2600	2451	1245	2397	2803	905	948
ENSMUSG00000099377	4	10	10	6	2	0	2	6	0
ENSMUSG00000099706	0	0	0	0	0	0	0	0	0
ENSMUSG00000047330	146	106	120	102	98	154	100	106	302
ENSMUSG00000101324	0	0	2	0	0	0	0	0	0
ENSMUSG00000072978	4	10	6	0	2	2	6	0	6
ENSMUSG00000046334	2	0	0	0	2	0	4	0	3
ENSMUSG00002075801	0	0	0	0	0	0	0	0	0
ENSMUSG00000050711	706	708	736	1204	706	1016	1106	620	612
ENSMUSG00000099562	0	0	0	0	0	0	0	0	0
ENSMUSG00000077782	0	0	0	0	0	0	0	0	0
ENSMUSG00000055067	338	395	372	579	326	354	390	325	342
ENSMUSG00000054702	2075	2797	1569	2044	1813	1299	1606	1845	1726
ENSMUSG00000096474	34	22	4	4	12	12	11	8	12
ENSMUSG00000102235	8	28	10	20	6	2	6	2	2
ENSMUSG00000026492	858	1004	1048	1086	844	951	933	836	929
ENSMUSG00000082395	0	0	1	10	2	2	1	0	4
ENSMUSG00000038949	1669	2362	2754	2719	1987	2594	3040	1319	1464
ENSMUSG00000026043	12764	6610	17806	14025	8773	10110	16671	11714	9814
ENSMUSG00000046101	3	0	2	8	6	2	4	2	0
ENSMUSG00002074901	0	0	0	0	0	0	0	0	0
ENSMUSG00000093178	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	10	2	1	8	0	8	2	6	8
ENSMUSG00000104025	0	0	0	0	0	0	0	0	0
ENSMUSG00000038936	582	442	250	334	370	302	384	524	510
ENSMUSG00000042772	2744	3172	2531	2974	2451	2188	2808	2142	2697
ENSMUSG00000100394	2	9	14	6	14	4	4	4	0
ENSMUSG00000103840	0	0	0	0	0	0	0	0	0
ENSMUSG00000087236	0	0	0	0	0	2	0	0	0
ENSMUSG00000100702	0	0	0	0	0	0	0	0	0
ENSMUSG00000026042	1723	827	1995	1493	1166	1307	1957	1612	1638
ENSMUSG00000104476	2	2	0	2	4	2	8	0	0
ENSMUSG00000073643	2244	2692	2312	2493	1750	1473	2295	2383	2556
ENSMUSG00000104497	0	0	2	0	1	0	2	0	2
ENSMUSG00000025916	0	0	0	0	0	2	0	0	2
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0
ENSMUSG00000026248	1300	1191	933	1293	902	902	1035	1041	1062
ENSMUSG00000119658	2	0	0	0	0	0	0	0	0
ENSMUSG00000026249	560	155	270	334	160	254	340	312	294
ENSMUSG00000042751	54	49	50	52	46	58	50	66	28
ENSMUSG00000067106	63	100	71	82	45	52	56	52	64
ENSMUSG00000099969	0	0	0	0	0	0	0	0	0
ENSMUSG00000100397	2	0	2	0	0	2	0	0	2
ENSMUSG00000099753	0	0	0	0	0	0	0	0	0
ENSMUSG00000118883	0	0	0	0	0	0	0	0	0
ENSMUSG00000102518	0	0	0	0	0	0	0	0	0
ENSMUSG00000099552	0	0	0	0	0	0	0	0	0
ENSMUSG00000043230	0	2	4	2	0	0	0	2	0
ENSMUSG00000103404	0	0	2	0	2	0	0	0	0
ENSMUSG00000026491	1554	1710	1775	2071	2014	1591	2181	1289	1876
ENSMUSG00000073486	0	0	0	0	1	0	0	0	0
ENSMUSG00000025917	3062	2842	2195	2433	2263	2135	2017	2194	2222
ENSMUSG00000104418	16	10	8	4	4	2	6	6	0
ENSMUSG00000026479	11236	5673	2322	2749	4331	3900	2977	11337	4449
ENSMUSG00000004364	4139	4026	3436	4557	3526	3570	4013	2901	3674
ENSMUSG00000103076	10	12	17	11	6	14	24	6	2
ENSMUSG00000103525	2	4	8	8	12	10	0	11	2
ENSMUSG00000101722	0	0	0	0	0	0	0	0	0
ENSMUSG00000090637	0	0	0	0	0	0	0	0	0
ENSMUSG00000026478	1784	1110	1814	1690	1149	2217	2213	1325	1758
ENSMUSG00000110100	0	0	0	0	0	0	0	0	0
ENSMUSG00000103818	0	1	8	0	0	0	4	0	0
ENSMUSG00000079138	0	0	0	0	2	0	0	2	2
ENSMUSG00000042708	3	5	9	10	2	3	2	5	4
ENSMUSG00000064435	2	0	0	0	0	0	2	0	0
ENSMUSG00000103543	2	1	2	0	2	0	0	2	0
ENSMUSG00000099432	0	0	0	2	0	0	0	0	2
ENSMUSG00000041144	27	46	60	17	55	71	41	35	40
ENSMUSG00000119743	0	0	0	0	0	0	0	0	0
ENSMUSG00000042699	6434	7450	5587	6301	5996	4632	5499	5284	5822
ENSMUSG00000101262	20	8	8	24	20	16	18	17	24
ENSMUSG00000042684	40	26	34	34	34	26	22	42	59
ENSMUSG00000099858	48	80	58	34	86	28	64	26	38
ENSMUSG00000101337	5	2	5	1	0	0	2	4	6
ENSMUSG00000025986	495	427	455	346	354	248	382	410	502
ENSMUSG00000100213	63	69	91	73	45	75	47	60	72
ENSMUSG00000103129	0	0	0	0	0	0	4	0	0
ENSMUSG00000100160	13	8	8	4	0	13	10	2	11
ENSMUSG00000101921	0	0	0	0	0	0	0	0	0
ENSMUSG00000101447	0	0	0	0	0	0	0	0	0
ENSMUSG00000081185	2	2	0	2	0	0	0	0	0
ENSMUSG00000103246	0	0	0	0	0	0	0	0	0
ENSMUSG00000098876	0	0	0	0	0	0	0	0	0
ENSMUSG00000100530	0	0	0	0	0	0	0	0	0
ENSMUSG00000104067	0	0	0	0	1	0	0	0	2
ENSMUSG00000100033	22	13	8	8	16	14	2	8	14
ENSMUSG00002075213	0	0	0	0	0	0	0	1	0
ENSMUSG00002076633	0	0	0	0	0	0	0	0	0
ENSMUSG00000101996	0	0	0	0	0	0	0	0	0
ENSMUSG00000096973	0	0	0	0	0	0	0	0	0
ENSMUSG00000064943	0	0	0	0	0	0	0	0	0
ENSMUSG00000100866	0	0	0	0	0	0	0	0	0
ENSMUSG00000101721	0	0	0	0	0	0	0	0	0
ENSMUSG00000099376	0	0	0	0	0	0	0	0	0
ENSMUSG00000097883	0	0	0	0	0	0	0	0	0
ENSMUSG00002076043	0	0	0	0	0	0	0	0	0
ENSMUSG00000099698	0	0	0	0	0	0	0	0	0
ENSMUSG00000056763	647	1003	1184	1211	928	874	1211	615	719
ENSMUSG00000099454	0	0	0	0	0	0	0	0	0
ENSMUSG00000051616	0	0	0	0	0	0	0	0	0
ENSMUSG00000099627	0	0	0	0	0	0	0	0	0
ENSMUSG00000099577	0	0	0	0	0	0	0	0	0
ENSMUSG00000099882	0	0	0	0	0	0	0	0	0
ENSMUSG00000101760	0	0	0	0	0	0	0	0	0
ENSMUSG00000102356	0	2	4	1	2	4	6	0	0
ENSMUSG00000099608	0	0	1	0	0	0	0	0	0
ENSMUSG00000099864	0	0	0	0	0	0	0	0	0
ENSMUSG00002075839	0	0	0	0	0	0	0	0	0
ENSMUSG00000100451	0	0	0	0	0	0	0	0	0
ENSMUSG00000099941	0	0	0	0	0	0	0	0	0
ENSMUSG00002075589	0	0	0	0	0	0	0	0	0
ENSMUSG00000100816	0	0	0	0	2	0	0	0	0
ENSMUSG00000042671	42	69	144	108	68	109	132	45	36
ENSMUSG00000100945	0	0	8	0	0	0	1	0	0
ENSMUSG00000102404	0	0	0	4	0	0	0	0	0
ENSMUSG00000100334	0	2	1	4	0	0	0	0	0
ENSMUSG00000026109	12	14	28	40	4	18	36	10	25
ENSMUSG00000026475	136	159	173	158	129	353	250	112	151
ENSMUSG00000099568	2	0	0	4	1	1	2	0	2
ENSMUSG00000100671	0	0	0	0	0	0	0	0	4
ENSMUSG00002075527	0	0	0	0	0	0	0	0	0
ENSMUSG00000101242	0	0	0	0	0	0	0	0	0
ENSMUSG00000099924	0	0	0	0	0	0	0	0	0
ENSMUSG00000099625	0	0	0	0	0	0	0	0	0
ENSMUSG00000101799	0	0	0	0	0	0	4	0	0
ENSMUSG00000045954	487	540	1488	1548	687	1320	1795	791	596
ENSMUSG00000099741	0	0	0	0	0	0	0	0	0
ENSMUSG00000101702	0	0	0	0	0	0	0	0	0
ENSMUSG00000066800	16723	19006	14265	17319	16972	19932	18659	16656	16055
ENSMUSG00000100183	573	682	520	496	585	818	531	515	366
ENSMUSG00000067851	8319	8808	7671	7615	6706	5438	8729	7988	7719
ENSMUSG00002076532	1	4	13	6	4	8	22	3	2
ENSMUSG00000102556	6	8	14	6	11	22	10	8	16
ENSMUSG00000038608	139	394	210	404	160	231	251	289	1020
ENSMUSG00000042501	16	26	22	38	22	68	52	36	14
ENSMUSG00000103810	0	0	0	0	0	0	0	0	0
ENSMUSG00000083422	0	0	0	0	0	0	0	2	0
ENSMUSG00000119312	0	0	0	0	0	0	0	0	0
ENSMUSG00000042641	2	9	6	0	2	7	6	0	2
ENSMUSG00000081417	0	0	0	0	0	0	0	0	0
ENSMUSG00000103448	0	0	0	0	0	0	0	0	0
ENSMUSG00000103192	0	0	0	0	0	0	0	0	1
ENSMUSG00000104488	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0	0	0	0
ENSMUSG00000102721	0	0	0	0	0	0	2	0	0
