Geneid	D4_131	D4_182	D4_184	D4_187	D4_195	D4_284	D4_321	D4_326	D4_87
ENSMUSG00000090106	0	0	0	0	0	0	0	0	0
ENSMUSG00000103251	0	0	0	4	0	0	0	0	2
ENSMUSG00000091844	6	0	0	16	0	4	0	0	2
ENSMUSG00000026483	2547	463	408	1544	524	630	5190	1634	787
ENSMUSG00000082528	0	0	0	0	0	0	0	0	0
ENSMUSG00000082012	0	0	0	0	0	0	0	0	0
ENSMUSG00000099996	0	0	0	0	0	0	0	0	0
ENSMUSG00000101763	0	0	0	0	0	0	0	0	0
ENSMUSG00000100827	0	0	0	0	0	0	0	0	0
ENSMUSG00000100553	0	0	0	0	0	0	0	0	0
ENSMUSG00000098611	0	0	0	0	0	0	0	0	0
ENSMUSG00000100534	0	0	0	0	0	0	0	0	0
ENSMUSG00000102904	0	0	0	0	0	0	0	0	0
ENSMUSG00002076350	0	0	0	0	0	0	0	0	0
ENSMUSG00000019699	117	141	230	427	74	516	250	223	128
ENSMUSG00000104391	0	2	0	10	0	0	8	0	0
ENSMUSG00000102133	0	0	0	4	0	0	1	0	0
ENSMUSG00000102749	0	0	0	0	0	0	0	0	0
ENSMUSG00000103163	0	0	0	0	0	0	0	0	0
ENSMUSG00000103646	0	2	4	0	0	4	0	0	0
ENSMUSG00000102427	0	2	0	0	3	1	0	0	0
ENSMUSG00000103633	0	0	2	0	0	0	0	0	0
ENSMUSG00000097892	5	8	15	28	10	28	8	26	10
ENSMUSG00000063659	2533	2487	2687	3325	2225	2893	2755	3341	1847
ENSMUSG00000102432	38	16	2	8	12	30	26	20	14
ENSMUSG00000103043	0	0	0	2	0	0	6	0	0
ENSMUSG00000102885	0	0	0	2	0	0	0	0	0
ENSMUSG00000026049	183	184	65	693	82	179	382	135	206
ENSMUSG00000103767	0	0	0	0	0	0	0	0	2
ENSMUSG00000043019	3625	4259	3863	3569	3830	2517	4760	3843	2374
ENSMUSG00000101104	0	0	0	0	0	0	0	0	0
ENSMUSG00000015962	622	16	12	161	2	128	357	85	705
ENSMUSG00000032666	1860	736	576	1390	491	987	1957	1172	999
ENSMUSG00000084557	0	0	0	0	0	0	0	0	0
ENSMUSG00000100685	1	0	0	0	0	0	0	0	0
ENSMUSG00000102090	0	0	0	0	0	0	0	0	0
ENSMUSG00000103744	0	0	0	0	0	0	0	0	0
ENSMUSG00000015961	8088	2819	2301	7653	1946	3384	8507	4190	5759
ENSMUSG00000089657	0	6	0	10	4	4	0	0	0
ENSMUSG00000102483	0	4	1	0	4	1	0	4	2
ENSMUSG00000014980	124	123	62	568	76	210	387	212	182
ENSMUSG00000026235	148	160	52	619	64	88	602	252	146
ENSMUSG00000099141	0	0	0	4	0	0	0	0	0
ENSMUSG00000032649	2	14	2	28	12	16	18	20	6
ENSMUSG00000101849	0	0	2	0	0	0	2	0	0
ENSMUSG00000101506	0	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0	0
ENSMUSG00000102052	0	0	0	0	0	0	0	0	0
ENSMUSG00000026047	87	89	80	315	79	81	270	208	60
ENSMUSG00000080878	0	0	0	0	0	0	0	0	0
ENSMUSG00000091476	0	28	16	20	19	22	6	40	6
ENSMUSG00000104097	2	7	0	14	16	8	6	4	2
ENSMUSG00000119789	0	0	0	0	0	0	0	0	0
ENSMUSG00000102493	0	0	0	0	0	0	2	2	0
ENSMUSG00000004872	0	0	0	0	0	0	0	0	0
ENSMUSG00000118426	4	0	0	4	2	0	5	1	0
ENSMUSG00000041684	408	309	231	402	265	311	506	507	231
ENSMUSG00000032908	4058	5389	4930	4645	4936	3641	7476	6342	3198
ENSMUSG00000099561	1	9	4	0	2	9	3	6	6
ENSMUSG00000102945	0	4	2	0	4	2	2	2	0
ENSMUSG00000026502	909	1030	727	1892	788	838	1890	1190	620
ENSMUSG00000103958	0	0	0	0	0	0	0	0	0
ENSMUSG00000070489	0	1	2	0	6	0	6	0	0
ENSMUSG00000104126	8	18	2	12	8	19	14	16	3
ENSMUSG00000026500	9	19	16	14	16	16	28	27	9
ENSMUSG00000026048	427	428	536	787	496	543	680	712	386
ENSMUSG00000046828	0	0	0	0	0	0	0	0	0
ENSMUSG00000089703	0	0	0	0	0	0	0	0	0
ENSMUSG00000100966	0	0	0	0	0	0	0	0	0
ENSMUSG00000100769	0	0	0	3	0	0	10	0	2
ENSMUSG00000101567	8	4	0	10	2	4	18	2	8
ENSMUSG00000026245	1575	991	632	3506	665	890	3307	1475	1440
ENSMUSG00000101798	0	2	0	2	0	0	0	0	2
ENSMUSG00000104018	0	2	0	14	2	2	0	0	0
ENSMUSG00000090486	103	6	0	6	4	8	26	2	6
ENSMUSG00000026482	64	89	68	239	40	190	181	212	84
ENSMUSG00000086145	0	0	0	0	0	0	0	0	0
ENSMUSG00000080950	0	2	0	2	0	0	2	0	0
ENSMUSG00000099868	0	0	0	0	0	0	0	0	0
ENSMUSG00000055547	0	0	0	0	0	0	2	0	0
ENSMUSG00000012187	0	1	0	6	0	0	2	12	0
ENSMUSG00000008475	21171	14261	16296	18528	15357	12675	24197	17886	16427
ENSMUSG00000099364	10	2	6	16	0	2	6	10	6
ENSMUSG00000100562	0	0	0	0	0	0	0	0	0
ENSMUSG00000056870	84	52	34	66	34	98	164	50	26
ENSMUSG00000102319	0	0	0	2	0	0	0	0	0
ENSMUSG00000089877	0	0	0	0	0	0	0	1	0
ENSMUSG00000101701	0	0	0	0	0	0	0	0	0
ENSMUSG00000103071	0	0	0	0	0	0	0	0	0
ENSMUSG00000100434	0	0	0	0	0	0	0	0	0
ENSMUSG00000100013	0	0	0	0	0	0	0	0	0
ENSMUSG00000101251	0	0	0	0	0	0	0	0	0
ENSMUSG00000101937	0	0	0	0	0	0	0	0	0
ENSMUSG00000039630	8938	10958	8409	28030	7802	11025	21598	13229	9472
ENSMUSG00000104279	56	12	10	24	12	30	25	10	18
ENSMUSG00002075531	0	0	0	0	0	0	0	0	0
ENSMUSG00000064954	0	0	0	0	0	0	0	0	0
ENSMUSG00000026495	82	116	66	114	124	114	156	123	54
ENSMUSG00000032883	3020	1026	695	2886	407	1017	4176	868	1776
ENSMUSG00000026480	437	399	321	1315	497	682	986	685	503
ENSMUSG00000026494	26	40	12	74	12	20	64	80	12
ENSMUSG00000064967	0	0	0	0	0	0	0	0	0
ENSMUSG00000102922	0	4	0	0	0	0	0	0	0
ENSMUSG00000025915	204	144	101	407	147	493	281	394	184
ENSMUSG00000089713	0	0	0	0	0	0	0	0	0
ENSMUSG00000079470	668	362	393	702	214	501	1098	213	332
ENSMUSG00000099377	0	0	0	8	4	4	6	0	0
ENSMUSG00000099706	0	0	0	0	0	0	0	0	0
ENSMUSG00000047330	112	18	14	280	46	64	138	152	35
ENSMUSG00000101324	0	0	0	0	0	0	0	0	0
ENSMUSG00000072978	2	0	2	0	0	2	2	2	0
ENSMUSG00000046334	0	2	0	0	0	6	0	0	0
ENSMUSG00002075801	0	0	0	0	0	0	0	4	0
ENSMUSG00000050711	310	326	328	370	430	684	608	1046	108
ENSMUSG00000099562	0	0	0	0	0	0	0	0	0
ENSMUSG00000077782	0	0	0	0	0	0	0	0	0
ENSMUSG00000055067	212	225	156	301	163	206	289	301	176
ENSMUSG00000054702	287	206	160	832	133	457	550	228	257
ENSMUSG00000096474	8	10	6	24	14	18	6	10	14
ENSMUSG00000102235	0	0	0	4	1	0	5	0	0
ENSMUSG00000026492	467	463	297	1034	363	463	1026	616	460
ENSMUSG00000082395	4	1	0	0	0	0	0	0	0
ENSMUSG00000038949	1928	1968	1556	1113	1852	1763	2247	2731	1174
ENSMUSG00000026043	1563	2173	1776	4309	989	2466	3922	3374	492
ENSMUSG00000046101	0	0	0	7	2	0	2	14	4
ENSMUSG00002074901	0	0	0	0	0	0	0	0	0
ENSMUSG00000093178	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	12	20	32	276	46	28	51	90	16
ENSMUSG00000104025	0	0	2	0	0	0	0	0	0
ENSMUSG00000038936	3618	2948	2907	1584	4139	1727	3034	3396	1872
ENSMUSG00000042772	3061	2835	2673	4323	1956	2460	3628	3391	1854
ENSMUSG00000100394	2	4	0	4	0	6	14	2	0
ENSMUSG00000103840	0	0	0	0	0	0	0	0	0
ENSMUSG00000087236	0	0	0	0	0	0	0	0	0
ENSMUSG00000100702	0	0	0	0	0	0	0	0	0
ENSMUSG00000026042	360	290	306	1277	182	518	778	483	132
ENSMUSG00000104476	0	0	0	0	0	0	0	0	0
ENSMUSG00000073643	3363	2745	2892	1807	2419	2681	3485	3765	1928
ENSMUSG00000104497	4	0	6	0	10	20	4	14	4
ENSMUSG00000025916	0	0	0	4	8	0	0	0	4
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0
ENSMUSG00000026248	641	624	419	1177	391	546	1312	925	590
ENSMUSG00000119658	0	0	0	0	0	0	0	0	0
ENSMUSG00000026249	76	34	26	1520	34	90	188	170	38
ENSMUSG00000042751	12	2	4	10	2	32	22	45	18
ENSMUSG00000067106	54	33	55	30	72	27	93	63	44
ENSMUSG00000099969	0	0	0	0	0	0	0	0	0
ENSMUSG00000100397	0	0	0	0	0	0	0	0	2
ENSMUSG00000099753	0	0	0	0	0	0	0	0	0
ENSMUSG00000118883	0	0	0	0	0	0	0	0	0
ENSMUSG00000102518	0	0	0	0	0	0	0	0	0
ENSMUSG00000099552	0	0	0	0	0	0	0	0	0
ENSMUSG00000043230	0	16	10	0	0	6	6	0	0
ENSMUSG00000103404	0	0	0	0	6	0	0	0	0
ENSMUSG00000026491	1116	1463	1128	3224	951	1673	2442	1620	866
ENSMUSG00000073486	0	0	0	2	0	0	1	0	0
ENSMUSG00000025917	2370	1706	1639	3885	1441	1637	4152	2460	2287
ENSMUSG00000104418	0	0	2	2	0	0	8	0	4
ENSMUSG00000026479	3219	817	1493	9897	847	1070	4600	1337	2663
ENSMUSG00000004364	3268	2970	2955	3347	2576	3199	4694	3823	2132
ENSMUSG00000103076	8	18	14	34	16	10	20	4	0
ENSMUSG00000103525	0	2	0	0	18	0	4	8	0
ENSMUSG00000101722	0	0	0	0	0	0	2	0	0
ENSMUSG00000090637	0	0	0	0	0	0	0	0	0
ENSMUSG00000026478	526	410	373	2571	334	722	1180	725	418
ENSMUSG00000110100	0	0	0	0	0	0	0	0	0
ENSMUSG00000103818	0	0	10	8	4	0	2	0	0
ENSMUSG00000079138	0	0	0	0	0	0	0	0	0
ENSMUSG00000042708	4	6	0	10	0	16	6	4	0
ENSMUSG00000064435	0	0	4	0	0	2	0	0	2
ENSMUSG00000103543	4	0	0	10	4	3	0	0	0
ENSMUSG00000099432	2	0	0	0	0	0	0	0	0
ENSMUSG00000041144	12	10	4	17	3	7	15	11	12
ENSMUSG00000119743	0	0	0	0	0	0	0	0	0
ENSMUSG00000042699	4290	4231	3117	8162	2846	4197	8596	4457	2342
ENSMUSG00000101262	6	6	8	20	4	6	10	10	16
ENSMUSG00000042684	50	90	92	64	72	90	128	80	66
ENSMUSG00000099858	54	78	46	10	54	90	70	120	48
ENSMUSG00000101337	0	8	10	3	0	4	2	0	8
ENSMUSG00000025986	138	126	74	1162	48	223	562	178	292
ENSMUSG00000100213	20	18	14	88	18	39	86	67	52
ENSMUSG00000103129	0	0	0	0	0	0	0	0	0
ENSMUSG00000100160	4	0	0	12	3	0	2	0	3
ENSMUSG00000101921	0	0	0	0	0	0	0	0	0
ENSMUSG00000101447	0	0	0	0	0	0	0	0	0
ENSMUSG00000081185	2	0	0	4	2	0	2	2	0
ENSMUSG00000103246	0	0	0	0	0	0	2	0	0
ENSMUSG00000098876	0	0	0	0	0	0	0	0	0
ENSMUSG00000100530	0	0	0	0	0	0	0	0	0
ENSMUSG00000104067	0	2	8	0	0	0	6	10	0
ENSMUSG00000100033	4	2	20	6	2	6	14	18	6
ENSMUSG00002075213	0	0	0	0	0	0	0	0	0
ENSMUSG00002076633	0	0	0	0	0	0	0	0	0
ENSMUSG00000101996	0	0	0	0	0	0	0	0	0
ENSMUSG00000096973	0	0	0	0	0	0	0	0	0
ENSMUSG00000064943	0	0	0	0	0	0	0	0	0
