Geneid	Cb_1	Cb_3_1	Cb_4_1	Cb_5_1	Cb_6	Control_4	Control_5_1	Control_6_1	Control_7_1	Control_8_1	Ox_1_1	Ox_3_1	Ox_4	Ox_7	Ox_8
ENSMUSG00000101849	0	6	2	0	0	0	2	2	0	0	2	0	10	4	6
ENSMUSG00000101506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026047	410	199	347	273	294	280	419	358	417	382	377	409	112	320	315
ENSMUSG00000080878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091476	3	7	16	11	7	68	116	109	148	66	21	39	18	23	36
ENSMUSG00000104097	9	10	11	5	22	33	72	34	32	32	6	15	9	15	7
ENSMUSG00000119789	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
ENSMUSG00000102493	0	0	0	2	0	2	4	2	0	0	2	4	2	0	3
ENSMUSG00000004872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118426	14	3	0	2	2	20	0	5	6	12	8	19	33	10	14
ENSMUSG00000041684	523	432	395	386	384	581	697	634	709	723	433	583	234	400	426
ENSMUSG00000032908	11131	9171	9382	8236	8238	7384	7894	8665	7890	7716	5713	6491	3772	3372	5385
ENSMUSG00000099561	10	4	2	9	2	3	7	10	7	11	9	18	7	7	3
ENSMUSG00000102945	2	4	0	4	0	0	1	0	2	2	4	0	0	4	2
ENSMUSG00000026502	1816	1450	1408	1831	1554	1411	1702	1646	1448	1537	1785	1656	1963	1032	1279
ENSMUSG00000103958	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000070489	6	0	0	1	0	0	0	2	0	2	0	0	3	0	0
ENSMUSG00000104126	38	15	37	12	24	4	6	14	9	20	18	14	122	26	29
ENSMUSG00000026500	15	6	14	9	10	16	18	16	10	12	5	8	1	11	12
ENSMUSG00000026048	726	570	590	524	613	656	822	763	787	665	668	636	858	567	588
ENSMUSG00000046828	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ENSMUSG00000089703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101567	20	16	20	18	36	12	4	12	5	6	16	22	6	10	26
ENSMUSG00000026245	3425	2508	2142	1918	2831	1494	1545	1460	1390	1277	2125	2061	1653	2350	2943
ENSMUSG00000101798	2	2	3	1	6	0	4	6	3	4	9	1	0	0	4
ENSMUSG00000104018	4	2	0	8	2	22	6	10	8	10	5	6	0	0	8
ENSMUSG00000090486	0	0	0	0	0	4	0	2	0	0	4	0	9	4	0
ENSMUSG00000026482	264	197	260	185	172	396	442	406	415	396	337	382	535	609	420
ENSMUSG00000086145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ENSMUSG00000080950	0	0	3	9	4	2	2	0	7	0	4	3	6	3	0
ENSMUSG00000099868	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000055547	0	0	0	0	1	2	0	2	0	2	0	0	0	0	0
ENSMUSG00000012187	0	1	0	0	0	5	7	2	3	0	0	3	1	1	4
ENSMUSG00000008475	13442	10703	10641	9830	11296	8328	8500	8596	7955	7198	8445	9828	8757	9484	11056
ENSMUSG00000099364	10	8	6	3	10	185	158	110	103	142	64	31	42	3	17
ENSMUSG00000100562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000056870	58	42	60	29	116	172	299	246	273	257	178	176	40	170	110
ENSMUSG00000102319	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0
ENSMUSG00000089877	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000101701	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSMUSG00000103071	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
